"","Bird.ID","Date.x","Bird.Status","Fate","Parent.Present.","x","y","year","Ordinal","month_day","week","encounter","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water","Capture.Date","Weight","RadioSize","Dayposthatch","Dayposthatch.num"
"234","163.254_245179",2024-09-13,"Alive & Inactive","","yes",-77.9587522836961,34.0701243236682,2024,256,"9_13",37,1,0.450153887271881,0.810126602649689,0,0,0.139240503311157,0,8.17534255981445,0,581.821533203125,186.978530883789,16.4419212341309,118.976165771484,2024-09-03,14,"Small",10,10
"235","163.254_245179",2024-09-13,"Alive & Inactive","","yes",-77.9585781830075,34.0701317812562,2024,256,"9_13",37,1,0.447213500738144,0.77215188741684,0,0,0.164556965231895,0,13.7901945114136,0,587.577880859375,188.31640625,15.2603397369385,123.909568786621,2024-09-03,14,"Small",10,10
"236","163.254_245179",2024-09-15,"Alive & Inactive","","yes",-77.9578104252735,34.0708114905394,2024,258,"9_15",37,1,0.568418741226196,0.77215188741684,0,0,0.177215188741684,0,11.772629737854,0.961339116096497,614.097229003906,227.519729614258,0,111.86930847168,2024-09-03,14,"Small",12,12
"237","163.254_245179",2024-09-12,"Alive & Inactive","","yes",-77.957647271455,34.0707166849342,2024,255,"9_12",37,1,0.568418741226196,0.77215188741684,0,0,0.177215188741684,0,14.5420551300049,0,620.28466796875,221.986618041992,1.89961743354797,119.886932373047,2024-09-03,14,"Small",9,9
"238","163.254_245179",2024-09-19,"Alive & Inactive","","yes",-77.9577561670303,34.0706871993104,2024,262,"9_19",38,1,0.54819267988205,0.77215188741684,0,0,0.177215188741684,0,9.92906188964844,4.22949886322021,614.507751464844,219.941284179688,0,119.913139343262,2024-09-03,14,"Small",16,16
"239","163.254_245179",2024-09-03,"Alive & Inactive","","yes",-77.9578579075245,34.0705965130012,2024,246,"9_3",36,1,0.474980235099792,0.734177231788635,0,0,0.202531650662422,0,4.20986843109131,5.97063541412354,608.731018066406,218.030380249023,0,120.207023620605,2024-09-03,14,"Small",0,0
"240","163.254_245179",2024-09-20,"Suspected Fate - DNH","","",-77.9580443798112,34.0704392912212,2024,263,"9_20",38,0,0.438461095094681,0.746835470199585,0,0,0.189873412251472,0,1.73100388050079,3.51381659507751,603.479858398438,208.580291748047,1.64658749103546,128.767959594727,2024-09-03,14,"Small",17,17
"241","163.254_245179",2024-09-07,"Alive & Inactive","","yes",-77.9591453927526,34.0709222788809,2024,250,"9_7",36,1,0.406527936458588,0.848101258277893,0,0,0.113924048841,0,13.1353340148926,0,567.855346679688,216.217086791992,6.05282783508301,94.3998489379883,2024-09-03,14,"Small",4,4
"242","163.254_245179",2024-09-17,"Alive & Inactive","","no",-77.9582603024661,34.0706138635898,2024,260,"9_17",38,1,0.452800691127777,0.734177231788635,0,0,0.202531650662422,0,7.16922426223755,7.97526216506958,597.178039550781,214.625946044922,0,121.620018005371,2024-09-03,14,"Small",14,14
"243","163.254_245179",2024-09-18,"Alive & Inactive","","yes",-77.9587000421707,34.0703157524956,2024,261,"9_18",38,1,0.448405742645264,0.734177231788635,0,0,0.202531650662422,0,6.21995449066162,0,581.0537109375,194.842269897461,8.49767971038818,114.886787414551,2024-09-03,14,"Small",15,15
"244","163.254_245179",2024-09-11,"Alive & Inactive","","yes",-77.957813569377,34.0706457772935,2024,254,"9_11",37,1,0.54819267988205,0.77215188741684,0,0,0.177215188741684,0,9.92906188964844,4.22949886322021,614.507751464844,219.941284179688,0,119.913139343262,2024-09-03,14,"Small",8,8
"245","163.254_245179",2024-09-05,"Alive & Inactive","","yes",-77.9595601458176,34.0724955825544,2024,248,"9_5",36,1,0.602295219898224,0.683544278144836,0,0,0,0,10.51771068573,0,551.059875488281,187.150726318359,63.3789596557617,54.7233467102051,2024-09-03,14,"Small",2,2
"246","163.254_245179",2024-09-04,"Alive & Inactive","","yes",-77.9576366434869,34.0707542896002,2024,247,"9_4",36,1,0.568418741226196,0.77215188741684,0,0,0.177215188741684,0,14.5420551300049,0,620.28466796875,221.986618041992,1.89961743354797,119.886932373047,2024-09-03,14,"Small",1,1
"247","163.254_245179",2024-09-09,"Alive & Inactive","","yes",-77.9587868876991,34.0707758607828,2024,252,"9_9",37,1,0.463849395513535,0.75949364900589,0,0,0.189873412251472,0,8.07942008972168,6.65963315963745,579.850158691406,210.611267089844,0,108.049903869629,2024-09-03,14,"Small",6,6
"248","163.254_245179",2024-09-15,"Alive & Inactive","","yes",-77.9582129486742,34.069832090922,2024,258,"9_15",37,1,0.392805844545364,0.835443019866943,0,0,0.101265825331211,0,22.5344104766846,0,599.945068359375,183.834503173828,23.5440883636475,137.974075317383,2024-09-03,14,"Small",12,12
"249","163.254_245179",2024-09-05,"Alive & Inactive","","yes",-77.9586208664582,34.0717440305812,2024,248,"9_5",36,1,0.508754312992096,0.949367105960846,0,0,0.0506329126656055,0,12.7140960693359,0,584.577270507812,226.503463745117,21.4731922149658,85.5071792602539,2024-09-03,14,"Small",2,2
"250","163.254_245179",2024-09-14,"Alive & Inactive","","yes",-77.9583276347899,34.0701650159569,2024,257,"9_14",37,1,0.449048638343811,0.77215188741684,0,0,0.177215188741684,0,14.4882221221924,0,599.092407226562,191.489318847656,15.5904855728149,133.981292724609,2024-09-03,14,"Small",11,11
