Capture Date,Course ID,Trap,Band ID,Recapture,Sex,Age,Immature,Weight,Condition,Leg Band,Wing Band,Tag Status at Capture,Manufacturer_at_Capture,SerialNum_at_Capture,Frequency_at_Capture,Tag Status at Release,Manufacturer_at_Release,SerialNum_at_Release,Frequency_at_Release,Comments,ObjectId,WingChord,Tarsus,RadioSize,bird.id
3/14/2021 8:00,AC,30,214737,Yes,F,Juvenile,,148,Good,Right,None,None,,,,VHF-Pendant,AWE,Tta20342,164.683,Print on collar ? collar frequency,41,,,,164.683_214737
3/14/2021 8:00,AC,30,214735,Yes,Male,Juvenile,,154,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21123,163.661,,42,,,,163.661_214735
3/14/2021 8:00,AC,30,214730,No,F,Juvenile,,160,Good,Left,None,VHF-Pendant,AWE,2116N,162.551,VHF-Pendant,AWE,2116N,162.551,Same collar,43,,,,162.551_214730
3/14/2022 8:00,AC,43,214695,No,Male,Juvenile,,182,Good,Right,None,VHF-Pendant,AWE,021-25,164.113,VHF-Pendant,AWE,OA212,162.013,,44,,,,162.013_214695
3/14/2022 8:00,AC,43,214711,Yes,Male,Adult,,169,Good,Left,None,VHF-Pendant,AWE,OA21-26,162.343,VHF-Pendant,AWE,OA21-26,162.343,,45,,,,162.343_214711
3/14/2022 8:00,AC,43,205070,No,Male,Adult,,190,Good,Right,Right,VHF-Pendant,AWE,021-85,165.605,VHF-Pendant,AWE,021-85,165.605,Kept collar from fall —- 020070 wing tag,46,,,,165.605_205070
3/14/2022 8:00,AC,43,214698,Yes,F,Juvenile,,0,Good,Left,None,None,,,,VHF-Pendant,AWE,Oa2188,163.202,,47,,,,163.202_214698
3/14/2022 8:00,AC,43,220255,No,F,Juvenile,,166,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2117,162.185,,48,,,,162.185_220255
3/12/2022 10:00,FC,37,220035,No,Male,Juvenile,,172,Good,Right,None,None,,,,None,,,,,49,,,,_220035
3/12/2022 10:00,FC,37,220037,Yes,Male,Juvenile,,170,Good,Right,Right,None,,,,None,,,,Wing does not match band… 0021019,50,,,,_220037
3/25/2022 8:00,DB,132,220394,No,Male,Adult,,182,Good,Right,None,None,,,,VHF-Pendant,AWE,Oa21118,163.58,,51,,,,163.580_220394
3/28/2022 8:00,BP,119,220550,No,Male,Juvenile,,176,Good,Right,None,None,,,,None,,,,,52,,,,_220550
3/21/2022 8:00,CC,214,220342,No,Male,Juvenile,,169,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2165,162.886,,53,,,,162.886_220342
3/21/2022 8:00,CC,214,220343,No,F,Juvenile,,162,Moderate - Feathers Missing from Scalp,Right,None,None,,,,VHF-Pendant,AWE,OA21156,164.059,,54,,,,164.059_220343
3/25/2022 8:00,BP,151,220286,No,Male,Juvenile,,0,Bad-birth lethargic,Right,None,None,,,,none,,,,,55,,,,_220286
3/21/2022 8:00,CC,214,220344,No,Male,Juvenile,,167,Good,Right,None,None,,,,VHF-Pendant,AWE,OA21140,163.867,,56,,,,163.867_220344
3/26/2022 8:00,CC,219,220513,No,F,Juvenile,,185,Good,Right,None,None,,,,VHF-Pendant,AWE,Tta20301,163.435,,57,,,,163.435_220513
3/26/2022 8:00,CC,219,220514,No,F,Juvenile,,180,Good,Right,None,None,,,,VHF-Pendant,AWE,Tta20268,163.03,,58,,,,163.030_220514
3/26/2022 8:00,CC,219,220515,No,F,Juvenile,,175,Good,Right,None,None,,,,VHF-Pendant,AWE,Tta20322,163.84,,59,,,,163.840_220515
3/25/2022 8:00,BP,141,220291,No,Male,Juvenile,,0,good,Right,none,none,,,,None,,,,,60,,,,_220291
3/25/2022 8:00,BP,141,220292,No,Male,Juvenile,,0,Moderate - Feathers Missing From Scalp,Right,None,None,,,,None,,,,,61,,,,_220292
3/25/2022 8:00,BP,141,220293,No,Male,Juvenile,,0,Bad - Scalp Severely Torn,Right,none,none,,,,None,,,,,62,,,,_220293
3/26/2022 8:00,CC,219,220516,No,F,Juvenile,,180,Good,Right,None,None,,,,VHF-Pendant,AWE,Tta20336,164.218,,63,,,,164.218_220516
3/26/2022 8:00,CC,219,220517,No,Male,Juvenile,,175,Good,Right,None,None,,,,VHF-Pendant,AWE,Hsl241331,164.708,,64,,,,164.708_220517
3/19/2022 8:00,CC,221,220309,No,Male,Juvenile,,200,Good,Right,None,None,,,,VHF-Pendant,AWE,OA2181,163.129,,65,,,,163.129_220309
3/25/2022 8:00,BP,141,220297,No,Male,Juvenile,,0,Good,Right,none,none,,,,None,,,,,66,,,,_220297
3/25/2022 8:00,BP,141,220298,No,Male,Adult,,0,Good,Right,none,none,,,,None,,,,,67,,,,_220298
3/22/2022 8:00,CC,221,220361,No,F,Juvenile,,172,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21137,163.832,,68,,,,163.832_220361
3/22/2022 8:00,CC,221,220360,No,F,Juvenile,,180,Good,Right,none,none,,,,VHF-Pendant,AWE,oa21-59,162.995,,69,,,,162.995_220360
4/10/2022 8:00,CC,272,220604,No,F,Juvenile,,172,Good,Left,none,none,,,,VHF-Pendant,AWE,TTA20239,162.724,,70,,,,162.724_220604
